id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-13 02:22:32,"{""short_code"":""trXjXP"",""original_url"":""https://opswise.net/amber/delta/1""}"
2,2,288,created,2025-12-05 08:05:57,"{""short_code"":""4LuIGF"",""original_url"":""https://opswise.net/cobalt/river/2""}"
3,3,56,created,2025-08-06 19:38:00,"{""short_code"":""Bz8PMF"",""original_url"":""https://relay.cloud/brisk/uplink/3""}"
4,4,382,created,2025-01-17 00:50:41,"{""short_code"":""ccfkxf"",""original_url"":""https://seeded.app/mellow/delta/4""}"
5,5,240,created,2025-05-18 15:30:32,"{""short_code"":""HGbJFv"",""original_url"":""https://acme.dev/proud/kernel/5""}"
6,6,176,created,2025-05-05 18:19:03,"{""short_code"":""Sax94G"",""original_url"":""https://example.com/jade/anchor/6""}"
7,7,90,created,2025-10-09 21:23:07,"{""short_code"":""lKwR4U"",""original_url"":""https://example.com/clear/lagoon/7""}"
8,8,329,created,2025-01-01 22:06:39,"{""short_code"":""pjiCs7"",""original_url"":""https://opswise.net/proud/beacon/8""}"
9,9,265,created,2025-08-17 10:18:03,"{""short_code"":""kUUmef"",""original_url"":""https://relay.cloud/clear/orbit/9""}"
10,10,214,created,2025-02-22 19:19:45,"{""short_code"":""2G9Be0"",""original_url"":""https://acme.dev/calm/meadow/10""}"
11,11,391,created,2025-02-19 20:04:54,"{""short_code"":""jDlA27"",""original_url"":""https://relay.cloud/lively/signal/11""}"
12,12,295,created,2025-06-15 22:40:06,"{""short_code"":""8HpxwB"",""original_url"":""https://seeded.app/clear/field/12""}"
13,13,254,created,2025-01-30 10:40:25,"{""short_code"":""8x3m08"",""original_url"":""https://relay.cloud/gold/delta/13""}"
14,14,233,created,2025-01-07 23:12:02,"{""short_code"":""7YBIw4"",""original_url"":""https://hackstack.io/keen/meadow/14""}"
15,15,57,created,2025-05-05 05:43:45,"{""short_code"":""Xw086A"",""original_url"":""https://relay.cloud/vivid/journey/15""}"
16,16,125,created,2025-11-12 12:57:13,"{""short_code"":""FNf8ht"",""original_url"":""https://example.com/harbor/pioneer/16""}"
17,17,360,created,2025-06-06 17:11:53,"{""short_code"":""MDDmlQ"",""original_url"":""https://relay.cloud/jade/delta/17""}"
18,18,204,created,2025-10-28 08:06:55,"{""short_code"":""xT37Iy"",""original_url"":""https://hackstack.io/jade/window/18""}"
19,19,80,created,2025-11-12 21:32:47,"{""short_code"":""CSLJTy"",""original_url"":""https://opswise.net/brisk/valley/19""}"
